roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,14,130,0,-35,-43,-21
3,1002,7Networks_LH_Vis_2,120,14,131,0,-29,-36,-21
4,1003,7Networks_LH_Vis_3,120,14,132,0,-37,-60,-18
5,1004,7Networks_LH_Vis_4,120,14,133,0,-31,-40,-12
6,1005,7Networks_LH_Vis_5,120,14,134,0,-29,-60,-14
7,1006,7Networks_LH_Vis_6,120,15,127,0,-39,-72,-17
8,1007,7Networks_LH_Vis_7,120,15,128,0,-29,-75,-14
9,1008,7Networks_LH_Vis_8,120,15,129,0,-25,-58,-9
10,1009,7Networks_LH_Vis_9,120,15,130,0,-24,-71,-8
11,1010,7Networks_LH_Vis_10,120,15,131,0,-28,-49,-5
12,1011,7Networks_LH_Vis_11,120,15,132,0,-28,-85,-16
13,1012,7Networks_LH_Vis_12,120,15,133,0,-46,-72,-10
14,1013,7Networks_LH_Vis_13,120,15,134,0,-40,-82,-16
15,1014,7Networks_LH_Vis_14,120,16,127,0,-17,-81,-13
16,1015,7Networks_LH_Vis_15,120,16,128,0,-19,-58,-5
17,1016,7Networks_LH_Vis_16,120,16,129,0,-16,-72,-9
18,1017,7Networks_LH_Vis_17,120,16,130,0,-21,-48,-7
19,1018,7Networks_LH_Vis_18,120,16,131,0,-15,-89,-15
20,1019,7Networks_LH_Vis_19,120,16,132,0,-16,-38,-11
21,1020,7Networks_LH_Vis_20,120,16,133,0,-32,-92,-14
22,1021,7Networks_LH_Vis_21,120,16,134,0,-11,-64,-4
23,1022,7Networks_LH_Vis_22,120,17,127,0,-17,-97,-16
24,1023,7Networks_LH_Vis_23,120,17,128,0,-13,-50,-7
25,1024,7Networks_LH_Vis_24,120,17,129,0,-7,-75,-5
26,1025,7Networks_LH_Vis_25,120,17,130,0,-5,-87,-13
27,1026,7Networks_LH_Vis_26,120,17,131,0,-44,-85,-4
28,1027,7Networks_LH_Vis_27,120,17,132,0,-8,-96,-13
29,1028,7Networks_LH_Vis_28,120,17,133,0,-13,-41,-5
30,1029,7Networks_LH_Vis_29,120,17,134,0,-24,-100,-8
31,1030,7Networks_LH_Vis_30,120,18,127,0,-8,-61,3
32,1031,7Networks_LH_Vis_31,120,18,128,0,-33,-92,-2
33,1032,7Networks_LH_Vis_32,120,18,129,0,-45,-76,5
34,1033,7Networks_LH_Vis_33,120,18,130,0,-3,-68,5
35,1034,7Networks_LH_Vis_34,120,18,131,0,-17,-54,0
36,1035,7Networks_LH_Vis_35,120,18,132,0,-6,-86,1
37,1036,7Networks_LH_Vis_36,120,18,133,0,-11,-44,2
38,1037,7Networks_LH_Vis_37,120,18,135,0,-41,-88,6
39,1038,7Networks_LH_Vis_38,120,18,136,0,-7,-103,-1
40,1039,7Networks_LH_Vis_39,120,18,137,0,-14,-68,4
41,1040,7Networks_LH_Vis_40,120,18,138,0,-7,-95,0
42,1041,7Networks_LH_Vis_41,120,18,139,0,-22,-99,4
43,1042,7Networks_LH_Vis_42,120,18,140,0,-9,-77,7
44,1043,7Networks_LH_Vis_43,120,18,141,0,-11,-48,4
45,1044,7Networks_LH_Vis_44,120,19,134,0,-29,-90,7
46,1045,7Networks_LH_Vis_45,120,19,135,0,-22,-59,6
47,1046,7Networks_LH_Vis_46,120,19,136,0,-51,-74,15
48,1047,7Networks_LH_Vis_47,120,19,137,0,-17,-71,7
49,1048,7Networks_LH_Vis_48,120,19,138,0,-2,-85,9
50,1049,7Networks_LH_Vis_49,120,19,139,0,-41,-80,14
51,1050,7Networks_LH_Vis_50,120,19,140,0,-12,-100,12
52,1051,7Networks_LH_Vis_51,120,19,141,0,-19,-61,9
53,1052,7Networks_LH_Vis_52,120,20,134,0,-24,-95,14
54,1053,7Networks_LH_Vis_53,120,20,135,0,-6,-74,13
55,1054,7Networks_LH_Vis_54,120,20,136,0,-3,-96,13
56,1055,7Networks_LH_Vis_55,120,20,137,0,-16,-64,13
57,1056,7Networks_LH_Vis_56,120,20,138,0,-32,-90,16
58,1057,7Networks_LH_Vis_57,120,20,139,0,-7,-68,16
59,1058,7Networks_LH_Vis_58,120,20,140,0,-2,-83,21
60,1059,7Networks_LH_Vis_59,120,20,141,0,-18,-91,22
61,1060,7Networks_LH_Vis_60,120,21,134,0,-40,-85,22
62,1061,7Networks_LH_Vis_61,120,21,135,0,-7,-93,25
63,1062,7Networks_LH_Vis_62,120,21,136,0,-15,-71,19
64,1063,7Networks_LH_Vis_63,120,21,137,0,-16,-64,22
65,1064,7Networks_LH_Vis_64,120,21,138,0,-27,-84,19
66,1065,7Networks_LH_Vis_65,120,21,139,0,-7,-76,26
67,1066,7Networks_LH_Vis_66,120,21,140,0,-32,-84,26
68,1067,7Networks_LH_Vis_67,120,21,141,0,-6,-87,35
69,1068,7Networks_LH_Vis_68,120,22,134,0,-17,-89,34
70,1069,7Networks_LH_Vis_69,120,22,135,0,-24,-82,28
71,1070,7Networks_LH_Vis_70,120,22,136,0,-15,-73,31
72,1071,7Networks_LH_Vis_71,120,22,137,0,-30,-74,25
73,1072,7Networks_LH_Vis_72,120,22,138,0,-13,-81,36
74,1073,7Networks_LH_Vis_73,120,22,139,0,-17,-86,44
75,1074,7Networks_LH_Vis_74,120,22,140,0,-23,-80,40
76,1075,7Networks_LH_Vis_75,120,22,141,0,-13,-80,45
77,1076,7Networks_LH_SomMot_1,70,125,178,0,-51,4,-6
78,1077,7Networks_LH_SomMot_2,70,125,179,0,-57,-4,1
79,1078,7Networks_LH_SomMot_3,70,125,180,0,-48,-12,-1
80,1079,7Networks_LH_SomMot_4,70,126,173,0,-56,-17,6
81,1080,7Networks_LH_SomMot_5,70,126,174,0,-42,-20,4
82,1081,7Networks_LH_SomMot_6,70,126,175,0,-65,-30,5
83,1082,7Networks_LH_SomMot_7,70,126,176,0,-61,-26,10
84,1083,7Networks_LH_SomMot_8,70,126,177,0,-36,-11,13
85,1084,7Networks_LH_SomMot_9,70,126,178,0,-40,-25,12
86,1085,7Networks_LH_SomMot_10,70,126,179,0,-34,-23,10
87,1086,7Networks_LH_SomMot_11,70,126,180,0,-61,-40,9
88,1087,7Networks_LH_SomMot_12,70,127,173,0,-42,-30,9
89,1088,7Networks_LH_SomMot_13,70,127,174,0,-36,-14,18
90,1089,7Networks_LH_SomMot_14,70,127,175,0,-48,-34,11
91,1090,7Networks_LH_SomMot_15,70,127,176,0,-35,-27,18
92,1091,7Networks_LH_SomMot_16,70,127,177,0,-42,-13,17
93,1092,7Networks_LH_SomMot_17,70,127,178,0,-59,-37,16
94,1093,7Networks_LH_SomMot_18,70,127,179,0,-48,-12,13
95,1094,7Networks_LH_SomMot_19,70,127,180,0,-58,-6,9
96,1095,7Networks_LH_SomMot_20,70,128,173,0,-40,-36,17
97,1096,7Networks_LH_SomMot_21,70,128,174,0,-42,-26,21
98,1097,7Networks_LH_SomMot_22,70,128,175,0,-59,0,12
99,1098,7Networks_LH_SomMot_23,70,128,176,0,-57,-15,15
100,1099,7Networks_LH_SomMot_24,70,128,177,0,-46,-40,20
101,1100,7Networks_LH_SomMot_25,70,128,178,0,-50,-21,18
102,1101,7Networks_LH_SomMot_26,70,128,179,0,-64,-9,13
103,1102,7Networks_LH_SomMot_27,70,128,180,0,-48,-30,17
104,1103,7Networks_LH_SomMot_28,70,129,173,0,-62,-18,21
105,1104,7Networks_LH_SomMot_29,70,129,174,0,-60,-2,19
106,1105,7Networks_LH_SomMot_30,70,129,175,0,-64,-9,22
107,1106,7Networks_LH_SomMot_31,70,129,176,0,-57,-1,27
108,1107,7Networks_LH_SomMot_32,70,129,177,0,-57,-8,25
109,1108,7Networks_LH_SomMot_33,70,129,178,0,-57,7,34
110,1109,7Networks_LH_SomMot_34,70,129,179,0,-62,-9,33
111,1110,7Networks_LH_SomMot_35,70,129,180,0,-55,-4,36
112,1111,7Networks_LH_SomMot_36,70,130,173,0,-51,-11,31
113,1112,7Networks_LH_SomMot_37,70,130,174,0,-57,-11,41
114,1113,7Networks_LH_SomMot_38,70,130,175,0,-56,-17,39
115,1114,7Networks_LH_SomMot_39,70,130,176,0,-53,-22,43
116,1115,7Networks_LH_SomMot_40,70,130,177,0,-49,-17,41
117,1116,7Networks_LH_SomMot_41,70,130,178,0,-47,-12,40
118,1117,7Networks_LH_SomMot_42,70,130,179,0,-57,-17,49
119,1118,7Networks_LH_SomMot_43,70,130,181,0,-8,-8,41
120,1119,7Networks_LH_SomMot_44,70,130,182,0,-52,-1,48
121,1120,7Networks_LH_SomMot_45,70,130,183,0,-48,-27,47
122,1121,7Networks_LH_SomMot_46,70,130,184,0,-38,-18,41
123,1122,7Networks_LH_SomMot_47,70,130,185,0,-9,-8,47
