roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,16,132,0,-37,-36,-23
3,1002,7Networks_LH_Vis_2,120,16,133,0,-29,-37,-15
4,1003,7Networks_LH_Vis_3,120,16,134,0,-35,-60,-17
5,1004,7Networks_LH_Vis_4,120,17,127,0,-25,-57,-10
6,1005,7Networks_LH_Vis_5,120,17,128,0,-37,-80,-16
7,1006,7Networks_LH_Vis_6,120,17,129,0,-23,-73,-10
8,1007,7Networks_LH_Vis_7,120,17,130,0,-23,-48,-6
9,1008,7Networks_LH_Vis_8,120,17,131,0,-45,-70,-8
10,1009,7Networks_LH_Vis_9,120,17,132,0,-19,-86,-15
11,1010,7Networks_LH_Vis_10,120,17,133,0,-15,-38,-10
12,1011,7Networks_LH_Vis_11,120,17,134,0,-13,-61,-5
13,1012,7Networks_LH_Vis_12,120,18,127,0,-7,-75,-6
14,1013,7Networks_LH_Vis_13,120,18,128,0,-25,-97,-12
15,1014,7Networks_LH_Vis_14,120,18,129,0,-43,-85,-5
16,1015,7Networks_LH_Vis_15,120,18,130,0,-5,-87,-12
17,1016,7Networks_LH_Vis_16,120,18,131,0,-9,-98,-11
18,1017,7Networks_LH_Vis_17,120,18,132,0,-15,-47,-3
19,1018,7Networks_LH_Vis_18,120,18,133,0,-8,-61,3
20,1019,7Networks_LH_Vis_19,120,18,135,0,-45,-75,5
21,1020,7Networks_LH_Vis_20,120,18,136,0,-5,-74,5
22,1021,7Networks_LH_Vis_21,120,18,137,0,-5,-91,1
23,1022,7Networks_LH_Vis_22,120,18,138,0,-25,-96,5
24,1023,7Networks_LH_Vis_23,120,18,139,0,-11,-46,3
25,1024,7Networks_LH_Vis_24,120,18,140,0,-20,-58,4
26,1025,7Networks_LH_Vis_25,120,18,141,0,-10,-102,6
27,1026,7Networks_LH_Vis_26,120,19,134,0,-34,-88,9
28,1027,7Networks_LH_Vis_27,120,19,135,0,-16,-68,7
29,1028,7Networks_LH_Vis_28,120,19,136,0,-6,-78,11
30,1029,7Networks_LH_Vis_29,120,19,137,0,-42,-81,17
31,1030,7Networks_LH_Vis_30,120,19,138,0,-6,-95,17
32,1031,7Networks_LH_Vis_31,120,19,139,0,-18,-93,21
33,1032,7Networks_LH_Vis_32,120,19,140,0,-17,-64,21
34,1033,7Networks_LH_Vis_33,120,19,141,0,-3,-84,25
35,1034,7Networks_LH_Vis_34,120,20,134,0,-11,-72,21
36,1035,7Networks_LH_Vis_35,120,20,135,0,-26,-82,22
37,1036,7Networks_LH_Vis_36,120,20,136,0,-32,-84,26
38,1037,7Networks_LH_Vis_37,120,20,137,0,-16,-89,34
39,1038,7Networks_LH_Vis_38,120,20,138,0,-12,-81,36
40,1039,7Networks_LH_Vis_39,120,20,139,0,-21,-82,44
41,1040,7Networks_LH_SomMot_1,70,128,174,0,-53,-1,-3
42,1041,7Networks_LH_SomMot_2,70,128,175,0,-57,-16,6
43,1042,7Networks_LH_SomMot_3,70,128,176,0,-43,-19,4
44,1043,7Networks_LH_SomMot_4,70,128,177,0,-61,-27,10
45,1044,7Networks_LH_SomMot_5,70,128,178,0,-35,-24,11
46,1045,7Networks_LH_SomMot_6,70,128,179,0,-44,-28,9
47,1046,7Networks_LH_SomMot_7,70,128,180,0,-38,-13,16
48,1047,7Networks_LH_SomMot_8,70,129,173,0,-61,-44,11
49,1048,7Networks_LH_SomMot_9,70,129,174,0,-36,-27,19
50,1049,7Networks_LH_SomMot_10,70,129,175,0,-58,-37,16
51,1050,7Networks_LH_SomMot_11,70,129,176,0,-51,-13,13
52,1051,7Networks_LH_SomMot_12,70,129,177,0,-41,-36,15
53,1052,7Networks_LH_SomMot_13,70,129,178,0,-60,-2,12
54,1053,7Networks_LH_SomMot_14,70,129,179,0,-49,-24,18
55,1054,7Networks_LH_SomMot_15,70,129,180,0,-62,-18,20
56,1055,7Networks_LH_SomMot_16,70,130,173,0,-60,-4,18
57,1056,7Networks_LH_SomMot_17,70,130,174,0,-63,-11,30
58,1057,7Networks_LH_SomMot_18,70,130,175,0,-58,-1,31
59,1058,7Networks_LH_SomMot_19,70,130,176,0,-54,-9,28
60,1059,7Networks_LH_SomMot_20,70,130,177,0,-54,-21,41
61,1060,7Networks_LH_SomMot_21,70,130,178,0,-50,-15,39
62,1061,7Networks_LH_SomMot_22,70,130,179,0,-51,-7,43
63,1062,7Networks_LH_SomMot_23,70,130,181,0,-49,-26,49
64,1063,7Networks_LH_SomMot_24,70,130,182,0,-39,-19,42
65,1064,7Networks_LH_SomMot_25,70,130,183,0,-49,-17,54
66,1065,7Networks_LH_SomMot_26,70,130,184,0,-43,-12,51
67,1066,7Networks_LH_SomMot_27,70,130,185,0,-7,-14,49
68,1067,7Networks_LH_SomMot_28,70,130,186,0,-47,-30,59
69,1068,7Networks_LH_SomMot_29,70,130,187,0,-39,-24,53
70,1069,7Networks_LH_SomMot_30,70,131,180,0,-8,-39,56
71,1070,7Networks_LH_SomMot_31,70,131,181,0,-36,-20,64
72,1071,7Networks_LH_SomMot_32,70,131,182,0,-4,-26,58
73,1072,7Networks_LH_SomMot_33,70,131,183,0,-30,-46,63
74,1073,7Networks_LH_SomMot_34,70,131,184,0,-5,-8,63
75,1074,7Networks_LH_SomMot_35,70,131,185,0,-32,-29,62
76,1075,7Networks_LH_SomMot_36,70,131,186,0,-26,-11,66
77,1076,7Networks_LH_SomMot_37,70,131,187,0,-29,-38,66
78,1077,7Networks_LH_SomMot_38,70,132,180,0,-9,-43,70
79,1078,7Networks_LH_SomMot_39,70,132,181,0,-19,-24,67
80,1079,7Networks_LH_SomMot_40,70,132,182,0,-16,-50,70
81,1080,7Networks_LH_SomMot_41,70,132,183,0,-20,-31,68
82,1081,7Networks_LH_SomMot_42,70,132,184,0,-15,-13,73
83,1082,7Networks_LH_SomMot_43,70,132,185,0,-20,-38,72
84,1083,7Networks_LH_SomMot_44,70,132,186,0,-3,-33,69
85,1084,7Networks_LH_SomMot_45,70,132,187,0,-7,-17,74
86,1085,7Networks_LH_SomMot_46,70,133,180,0,-12,-27,73
87,1086,7Networks_LH_SomMot_47,70,133,181,0,-10,-34,76
88,1087,7Networks_LH_DorsAttn_Post_1,0,117,14,0,-45,-44,-21
89,1088,7Networks_LH_DorsAttn_Post_2,0,118,7,0,-49,-57,-14
90,1089,7Networks_LH_DorsAttn_Post_3,0,118,8,0,-55,-63,2
91,1090,7Networks_LH_DorsAttn_Post_4,0,118,9,0,-49,-66,13
92,1091,7Networks_LH_DorsAttn_Post_5,0,118,10,0,-26,-71,31
93,1092,7Networks_LH_DorsAttn_Post_6,0,118,11,0,-27,-67,42
94,1093,7Networks_LH_DorsAttn_Post_7,0,118,12,0,-55,-31,44
95,1094,7Networks_LH_DorsAttn_Post_8,0,118,13,0,-43,-32,43
96,1095,7Networks_LH_DorsAttn_Post_9,0,118,15,0,-37,-39,41
97,1096,7Networks_LH_DorsAttn_Post_10,0,118,16,0,-22,-66,48
98,1097,7Networks_LH_DorsAttn_Post_11,0,118,17,0,-29,-58,50
99,1098,7Networks_LH_DorsAttn_Post_12,0,118,18,0,-17,-73,53
100,1099,7Networks_LH_DorsAttn_Post_13,0,118,19,0,-35,-49,52
101,1100,7Networks_LH_DorsAttn_Post_14,0,118,20,0,-38,-39,53
102,1101,7Networks_LH_DorsAttn_Post_15,0,118,21,0,-34,-56,62
103,1102,7Networks_LH_DorsAttn_Post_16,0,119,14,0,-27,-64,61
104,1103,7Networks_LH_DorsAttn_Post_17,0,119,15,0,-12,-67,61
105,1104,7Networks_LH_DorsAttn_Post_18,0,119,16,0,-7,-58,64
106,1105,7Networks_LH_DorsAttn_Post_19,0,119,17,0,-20,-58,66
107,1106,7Networks_LH_DorsAttn_FEF_1,0,118,22,0,-39,-3,51
108,1107,7Networks_LH_DorsAttn_FEF_2,0,119,18,0,-22,8,56
109,1108,7Networks_LH_DorsAttn_FEF_3,0,119,19,0,-25,-7,52
110,1109,7Networks_LH_DorsAttn_FEF_4,0,119,20,0,-20,-4,64
111,1110,7Networks_LH_DorsAttn_PrCv_1,0,119,21,0,-54,7,27
112,1111,7Networks_LH_DorsAttn_PrCv_2,0,120,14,0,-46,3,37
113,1112,7Networks_LH_SalVentAttn_ParOper_1,196,58,249,0,-47,-37,24
114,1113,7Networks_LH_SalVentAttn_ParOper_2,196,58,251,0,-60,-29,22
115,1114,7Networks_LH_SalVentAttn_ParOper_3,196,58,252,0,-57,-42,29
116,1115,7Networks_LH_SalVentAttn_ParOper_4,196,58,253,0,-61,-23,33
117,1116,7Networks_LH_SalVentAttn_ParOper_5,196,58,254,0,-62,-36,36
118,1117,7Networks_LH_SalVentAttn_TempOcc_1,196,58,255,0,-54,-56,14
