roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,18,129,0,-24,-53,-9
3,1002,7Networks_LH_Vis_2,120,18,130,0,-26,-77,-14
4,1003,7Networks_LH_Vis_3,120,18,131,0,-45,-69,-8
5,1004,7Networks_LH_Vis_4,120,18,132,0,-10,-67,-4
6,1005,7Networks_LH_Vis_5,120,18,133,0,-27,-95,-12
7,1006,7Networks_LH_Vis_6,120,18,135,0,-14,-44,-3
8,1007,7Networks_LH_Vis_7,120,18,136,0,-5,-93,-4
9,1008,7Networks_LH_Vis_8,120,18,137,0,-47,-70,10
10,1009,7Networks_LH_Vis_9,120,18,138,0,-23,-97,6
11,1010,7Networks_LH_Vis_10,120,18,139,0,-11,-70,7
12,1011,7Networks_LH_Vis_11,120,18,140,0,-40,-85,11
13,1012,7Networks_LH_Vis_12,120,18,141,0,-12,-73,22
14,1013,7Networks_LH_Vis_13,120,19,134,0,-7,-87,28
15,1014,7Networks_LH_Vis_14,120,19,135,0,-23,-87,23
16,1015,7Networks_LH_SomMot_1,70,130,174,0,-51,-4,-2
17,1016,7Networks_LH_SomMot_2,70,130,175,0,-53,-24,9
18,1017,7Networks_LH_SomMot_3,70,130,176,0,-37,-21,16
19,1018,7Networks_LH_SomMot_4,70,130,177,0,-55,-4,10
20,1019,7Networks_LH_SomMot_5,70,130,178,0,-53,-22,18
21,1020,7Networks_LH_SomMot_6,70,130,179,0,-56,-8,31
22,1021,7Networks_LH_SomMot_7,70,130,181,0,-47,-9,46
23,1022,7Networks_LH_SomMot_8,70,130,182,0,-7,-12,46
24,1023,7Networks_LH_SomMot_9,70,130,183,0,-49,-28,57
25,1024,7Networks_LH_SomMot_10,70,130,184,0,-40,-25,57
26,1025,7Networks_LH_SomMot_11,70,130,185,0,-31,-46,63
27,1026,7Networks_LH_SomMot_12,70,130,186,0,-32,-22,64
28,1027,7Networks_LH_SomMot_13,70,130,187,0,-26,-38,68
29,1028,7Networks_LH_SomMot_14,70,131,180,0,-20,-11,68
30,1029,7Networks_LH_SomMot_15,70,131,181,0,-5,-29,67
31,1030,7Networks_LH_SomMot_16,70,131,182,0,-19,-31,68
32,1031,7Networks_LH_DorsAttn_Post_1,0,118,11,0,-43,-48,-19
33,1032,7Networks_LH_DorsAttn_Post_2,0,118,12,0,-57,-60,-1
34,1033,7Networks_LH_DorsAttn_Post_3,0,118,13,0,-26,-70,38
35,1034,7Networks_LH_DorsAttn_Post_4,0,118,15,0,-54,-27,42
36,1035,7Networks_LH_DorsAttn_Post_5,0,118,16,0,-41,-35,47
37,1036,7Networks_LH_DorsAttn_Post_6,0,118,17,0,-33,-49,47
38,1037,7Networks_LH_DorsAttn_Post_7,0,118,18,0,-17,-73,54
39,1038,7Networks_LH_DorsAttn_Post_8,0,118,19,0,-29,-60,59
40,1039,7Networks_LH_DorsAttn_Post_9,0,118,20,0,-6,-60,57
41,1040,7Networks_LH_DorsAttn_Post_10,0,118,21,0,-17,-53,68
42,1041,7Networks_LH_DorsAttn_FEF_1,0,118,22,0,-31,-4,53
43,1042,7Networks_LH_DorsAttn_FEF_2,0,119,15,0,-22,6,62
