roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
1,1000,L_medial_wall,255,255,255,0,left,,,
2,1001,L_VosdeWael_Area_1,1,1,1,0,left,,,
3,1002,L_VosdeWael_Area_2,2,2,2,0,left,,,
4,1003,L_VosdeWael_Area_3,3,3,3,0,left,,,
5,1004,L_VosdeWael_Area_4,4,4,4,0,left,,,
6,1005,L_VosdeWael_Area_5,5,5,5,0,left,,,
7,1006,L_VosdeWael_Area_6,6,6,6,0,left,,,
8,1007,L_VosdeWael_Area_7,7,7,7,0,left,,,
9,1008,L_VosdeWael_Area_8,8,8,8,0,left,,,
10,1009,L_VosdeWael_Area_9,9,9,9,0,left,,,
11,1010,L_VosdeWael_Area_10,10,10,10,0,left,,,
12,1011,L_VosdeWael_Area_11,11,11,11,0,left,,,
13,1012,L_VosdeWael_Area_12,12,12,12,0,left,,,
14,1013,L_VosdeWael_Area_13,13,13,13,0,left,,,
15,1014,L_VosdeWael_Area_14,14,14,14,0,left,,,
16,1015,L_VosdeWael_Area_15,15,15,15,0,left,,,
17,1016,L_VosdeWael_Area_16,16,16,16,0,left,,,
18,1017,L_VosdeWael_Area_17,17,17,17,0,left,,,
19,1018,L_VosdeWael_Area_18,18,18,18,0,left,,,
20,1019,L_VosdeWael_Area_19,19,19,19,0,left,,,
21,1020,L_VosdeWael_Area_20,20,20,20,0,left,,,
22,1021,L_VosdeWael_Area_21,21,21,21,0,left,,,
23,1022,L_VosdeWael_Area_22,22,22,22,0,left,,,
24,1023,L_VosdeWael_Area_23,23,23,23,0,left,,,
25,1024,L_VosdeWael_Area_24,24,24,24,0,left,,,
26,1025,L_VosdeWael_Area_25,25,25,25,0,left,,,
27,1026,L_VosdeWael_Area_26,26,26,26,0,left,,,
28,1027,L_VosdeWael_Area_27,27,27,27,0,left,,,
29,1028,L_VosdeWael_Area_28,28,28,28,0,left,,,
30,1029,L_VosdeWael_Area_29,29,29,29,0,left,,,
31,1030,L_VosdeWael_Area_30,30,30,30,0,left,,,
32,1031,L_VosdeWael_Area_31,31,31,31,0,left,,,
33,1032,L_VosdeWael_Area_32,32,32,32,0,left,,,
34,1033,L_VosdeWael_Area_33,33,33,33,0,left,,,
35,1034,L_VosdeWael_Area_34,34,34,34,0,left,,,
36,1035,L_VosdeWael_Area_35,35,35,35,0,left,,,
37,1036,L_VosdeWael_Area_36,36,36,36,0,left,,,
38,1037,L_VosdeWael_Area_37,37,37,37,0,left,,,
39,1038,L_VosdeWael_Area_38,38,38,38,0,left,,,
40,1039,L_VosdeWael_Area_39,39,39,39,0,left,,,
41,1040,L_VosdeWael_Area_40,40,40,40,0,left,,,
42,1041,L_VosdeWael_Area_41,41,41,41,0,left,,,
43,1042,L_VosdeWael_Area_42,42,42,42,0,left,,,
44,1043,L_VosdeWael_Area_43,43,43,43,0,left,,,
45,1044,L_VosdeWael_Area_44,44,44,44,0,left,,,
46,1045,L_VosdeWael_Area_45,45,45,45,0,left,,,
47,1046,L_VosdeWael_Area_46,46,46,46,0,left,,,
48,1047,L_VosdeWael_Area_47,47,47,47,0,left,,,
