roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
49,1048,L_VosdeWael_Area_48,48,48,48,0,left,,,
50,1049,L_VosdeWael_Area_49,49,49,49,0,left,,,
51,1050,L_VosdeWael_Area_50,50,50,50,0,left,,,
52,2000,R_medial_wall,255,255,255,0,right,,,
53,2001,R_VosdeWael_Area_1,0,1,1,0,right,,,
54,2002,R_VosdeWael_Area_2,0,2,2,0,right,,,
55,2003,R_VosdeWael_Area_3,0,3,3,0,right,,,
56,2004,R_VosdeWael_Area_4,0,4,4,0,right,,,
57,2005,R_VosdeWael_Area_5,0,5,5,0,right,,,
58,2006,R_VosdeWael_Area_6,0,6,6,0,right,,,
59,2007,R_VosdeWael_Area_7,0,7,7,0,right,,,
60,2008,R_VosdeWael_Area_8,0,8,8,0,right,,,
61,2009,R_VosdeWael_Area_9,0,9,9,0,right,,,
62,2010,R_VosdeWael_Area_10,0,10,10,0,right,,,
63,2011,R_VosdeWael_Area_11,0,11,11,0,right,,,
64,2012,R_VosdeWael_Area_12,0,12,12,0,right,,,
65,2013,R_VosdeWael_Area_13,0,13,13,0,right,,,
66,2014,R_VosdeWael_Area_14,0,14,14,0,right,,,
67,2015,R_VosdeWael_Area_15,0,15,15,0,right,,,
68,2016,R_VosdeWael_Area_16,0,16,16,0,right,,,
69,2017,R_VosdeWael_Area_17,0,17,17,0,right,,,
70,2018,R_VosdeWael_Area_18,0,18,18,0,right,,,
71,2019,R_VosdeWael_Area_19,0,19,19,0,right,,,
72,2020,R_VosdeWael_Area_20,0,20,20,0,right,,,
73,2021,R_VosdeWael_Area_21,0,21,21,0,right,,,
74,2022,R_VosdeWael_Area_22,0,22,22,0,right,,,
75,2023,R_VosdeWael_Area_23,0,23,23,0,right,,,
76,2024,R_VosdeWael_Area_24,0,24,24,0,right,,,
77,2025,R_VosdeWael_Area_25,0,25,25,0,right,,,
78,2026,R_VosdeWael_Area_26,0,26,26,0,right,,,
79,2027,R_VosdeWael_Area_27,0,27,27,0,right,,,
80,2028,R_VosdeWael_Area_28,0,28,28,0,right,,,
81,2029,R_VosdeWael_Area_29,0,29,29,0,right,,,
82,2030,R_VosdeWael_Area_30,0,30,30,0,right,,,
83,2031,R_VosdeWael_Area_31,0,31,31,0,right,,,
84,2032,R_VosdeWael_Area_32,0,32,32,0,right,,,
85,2033,R_VosdeWael_Area_33,0,33,33,0,right,,,
86,2034,R_VosdeWael_Area_34,0,34,34,0,right,,,
87,2035,R_VosdeWael_Area_35,0,35,35,0,right,,,
88,2036,R_VosdeWael_Area_36,0,36,36,0,right,,,
89,2037,R_VosdeWael_Area_37,0,37,37,0,right,,,
90,2038,R_VosdeWael_Area_38,0,38,38,0,right,,,
91,2039,R_VosdeWael_Area_39,0,39,39,0,right,,,
92,2040,R_VosdeWael_Area_40,0,40,40,0,right,,,
93,2041,R_VosdeWael_Area_41,0,41,41,0,right,,,
94,2042,R_VosdeWael_Area_42,0,42,42,0,right,,,
95,2043,R_VosdeWael_Area_43,0,43,43,0,right,,,
96,2044,R_VosdeWael_Area_44,0,44,44,0,right,,,
97,2045,R_VosdeWael_Area_45,0,45,45,0,right,,,
98,2046,R_VosdeWael_Area_46,0,46,46,0,right,,,
99,2047,R_VosdeWael_Area_47,0,47,47,0,right,,,
100,2048,R_VosdeWael_Area_48,0,48,48,0,right,,,
101,2049,R_VosdeWael_Area_49,0,49,49,0,right,,,
102,2050,R_VosdeWael_Area_50,0,50,50,0,right,,,
