roi,mics,label,R,G,B,A,side, coor.x, coor.y, coor.z
1,1000, medial wall,0-,255,255,,left,,,
2,1001, V1,0,0,255,0,left,,,
3,1002, MST,255,0,0,0,left,,,
4,1003, V6,0,255,0,0,left,,,
5,1004, V2,0,0,44,0,left,,,
6,1005, V3,255,26,185,0,left,,,
7,1006, V4,255,211,0,0,left,,,
8,1007, V8,0,88,0,0,left,,,
9,1008,4,132,132,255,0,left,,,
10,1009, 3b,158,79,70,0,left,,,
11,1010, FEF,0,255,193,0,left,,,
12,1011, PEF,0,132,149,0,left,,,
13,1012, 55b,0,0,123,0,left,,,
14,1013, V3A,149,211,79,0,left,,,
15,1014, RSC,246,158,220,0,left,,,
16,1015, POS2,211,18,255,0,left,,,
17,1016, V7,123,26,106,0,left,,,
18,1017, IPS1,246,18,97,0,left,,,
19,1018, FFC,255,193,132,0,left,,,
20,1019, V3B,35,35,9,0,left,,,
21,1020, LO1,141,167,123,0,left,,,
22,1021, LO2,246,132,9,0,left,,,
23,1022, PIT,132,114,0,0,left,,,
24,1023, MT,114,246,255,0,left,,,
25,1024, A1,158,193,255,0,left,,,
26,1025, PSL,114,97,123,0,left,,,
27,1026, SFL,158,0,0,0,left,,,
28,1027, PCV,0,79,255,0,left,,,
29,1028, STV,0,70,149,0,left,,,
30,1029, 7Pm,211,255,0,0,left,,,
31,1030, 7m,185,79,211,0,left,,,
32,1031, POS1,62,0,26,0,left,,,
33,1032, 23d,237,255,176,0,left,,,
34,1033, v23ab,255,123,97,0,left,,,
35,1034, d23ab,70,255,123,0,left,,,
36,1035, 31pv,18,167,97,0,left,,,
37,1036, 5m,211,167,167,0,left,,,
38,1037, 5mv,211,79,132,0,left,,,
39,1038, 23c,106,0,193,0,left,,,
40,1039, 5L,44,97,70,0,left,,,
41,1040, 24dd,0,149,246,0,left,,,
42,1041, 24dv,9,62,79,0,left,,,
43,1042, 7AL,167,88,9,0,left,,,
44,1043, SCEF,114,97,62,0,left,,,
45,1044, 6ma,9,149,0,0,left,,,
46,1045, 7Am,158,106,185,0,left,,,
47,1046, 7PL,255,255,114,0,left,,,
48,1047, 7PC,167,246,202,0,left,,,
49,1048, LIPv,149,176,185,0,left,,,
50,1049, VIP,176,176,9,0,left,,,
51,1050, MIP,44,0,79,0,left,,,
52,1051,1,0,202,255,0,left,,,
53,1052,2,79,35,0,0,left,,,
54,1053, 3a,0,185,167,0,left,,,
55,1054, 6d,158,0,53,0,left,,,
56,1055, 6mp,79,123,176,0,left,,,
57,1056, 6v,26,70,193,0,left,,,
58,1057, p24pr,88,211,0,0,left,,,
59,1058, 33pr,114,149,53,0,left,,,
60,1059, a24pr,229,167,53,0,left,,,
61,1060, p32pr,246,141,149,0,left,,,
62,1061, a24,106,18,141,0,left,,,
63,1062, d32,229,97,193,0,left,,,
64,1063, 8BM,237,211,255,0,left,,,
65,1064, p32,158,255,158,0,left,,,
66,1065, 10r,255,79,246,0,left,,,
67,1066, 47m,149,97,255,0,left,,,
68,1067, 8Av,193,185,97,0,left,,,
69,1068, 8Ad,237,44,53,0,left,,,
70,1069, 9m,176,106,132,0,left,,,
71,1070, 8BL,70,44,88,0,left,,,
72,1071, 9p,185,132,88,0,left,,,
73,1072, 10d,141,9,255,0,left,,,
74,1073, 8C,70,79,0,0,left,,,
75,1074,44,220,211,176,0,left,,,
76,1075,45,229,149,255,0,left,,,
77,1076, 47l,0,0,9,0,left,,,
78,1077, a47r,97,62,62,0,left,,,
79,1078, 6r,237,0,132,0,left,,,
80,1079, IFJa,176,0,149,0,left,,,
81,1080, IFJp,106,0,0,0,left,,,
82,1081, IFSp,185,167,255,0,left,,,
83,1082, IFSa,167,149,193,0,left,,,
84,1083, p9-46v,132,44,79,0,left,,,
85,1084,46,114,123,114,0,left,,,
