roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,17,128,0,-33,-42,-21
3,1002,7Networks_LH_Vis_2,120,17,129,0,-30,-33,-18
4,1003,7Networks_LH_Vis_3,120,17,130,0,-36,-62,-17
5,1004,7Networks_LH_Vis_4,120,17,131,0,-24,-55,-8
6,1005,7Networks_LH_Vis_5,120,17,132,0,-23,-73,-10
7,1006,7Networks_LH_Vis_6,120,17,133,0,-36,-81,-16
8,1007,7Networks_LH_Vis_7,120,17,134,0,-18,-37,-12
9,1008,7Networks_LH_Vis_8,120,18,127,0,-45,-70,-8
10,1009,7Networks_LH_Vis_9,120,18,128,0,-17,-86,-15
11,1010,7Networks_LH_Vis_10,120,18,129,0,-12,-62,-5
12,1011,7Networks_LH_Vis_11,120,18,130,0,-7,-76,-6
13,1012,7Networks_LH_Vis_12,120,18,131,0,-24,-97,-12
14,1013,7Networks_LH_Vis_13,120,18,132,0,-13,-43,-5
15,1014,7Networks_LH_Vis_14,120,18,133,0,-41,-87,-3
16,1015,7Networks_LH_Vis_15,120,18,135,0,-7,-98,-7
17,1016,7Networks_LH_Vis_16,120,18,136,0,-14,-57,1
18,1017,7Networks_LH_Vis_17,120,18,137,0,-46,-73,6
19,1018,7Networks_LH_Vis_18,120,18,138,0,-5,-88,2
20,1019,7Networks_LH_Vis_19,120,18,139,0,-24,-96,6
21,1020,7Networks_LH_Vis_20,120,18,140,0,-13,-49,4
22,1021,7Networks_LH_Vis_21,120,18,141,0,-7,-74,9
23,1022,7Networks_LH_Vis_22,120,19,134,0,-19,-65,7
24,1023,7Networks_LH_Vis_23,120,19,135,0,-39,-84,14
25,1024,7Networks_LH_Vis_24,120,19,136,0,-11,-97,17
26,1025,7Networks_LH_Vis_25,120,19,137,0,-3,-84,24
27,1026,7Networks_LH_Vis_26,120,19,138,0,-12,-71,20
28,1027,7Networks_LH_Vis_27,120,19,139,0,-25,-85,21
29,1028,7Networks_LH_Vis_28,120,19,140,0,-32,-84,27
30,1029,7Networks_LH_Vis_29,120,19,141,0,-16,-89,33
31,1030,7Networks_LH_Vis_30,120,20,134,0,-12,-81,36
32,1031,7Networks_LH_Vis_31,120,20,135,0,-21,-79,45
33,1032,7Networks_LH_SomMot_1,70,128,179,0,-50,-9,0
34,1033,7Networks_LH_SomMot_2,70,128,180,0,-56,-22,8
35,1034,7Networks_LH_SomMot_3,70,129,173,0,-36,-24,10
36,1035,7Networks_LH_SomMot_4,70,129,174,0,-38,-9,13
37,1036,7Networks_LH_SomMot_5,70,129,175,0,-36,-26,19
38,1037,7Networks_LH_SomMot_6,70,129,176,0,-59,-37,16
39,1038,7Networks_LH_SomMot_7,70,129,177,0,-41,-35,14
40,1039,7Networks_LH_SomMot_8,70,129,178,0,-49,-13,14
41,1040,7Networks_LH_SomMot_9,70,129,179,0,-60,-2,11
42,1041,7Networks_LH_SomMot_10,70,129,180,0,-48,-24,18
43,1042,7Networks_LH_SomMot_11,70,130,173,0,-61,-18,19
44,1043,7Networks_LH_SomMot_12,70,130,174,0,-59,-2,23
45,1044,7Networks_LH_SomMot_13,70,130,175,0,-63,-10,31
46,1045,7Networks_LH_SomMot_14,70,130,176,0,-53,-9,30
47,1046,7Networks_LH_SomMot_15,70,130,177,0,-55,-20,41
48,1047,7Networks_LH_SomMot_16,70,130,178,0,-51,-7,43
