roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,17,132,0,-34,-41,-21
3,1002,7Networks_LH_Vis_2,120,17,133,0,-29,-34,-17
4,1003,7Networks_LH_Vis_3,120,17,134,0,-35,-65,-16
5,1004,7Networks_LH_Vis_4,120,18,127,0,-24,-54,-8
6,1005,7Networks_LH_Vis_5,120,18,128,0,-22,-73,-9
7,1006,7Networks_LH_Vis_6,120,18,129,0,-21,-85,-15
8,1007,7Networks_LH_Vis_7,120,18,130,0,-16,-38,-11
9,1008,7Networks_LH_Vis_8,120,18,131,0,-42,-84,-10
10,1009,7Networks_LH_Vis_9,120,18,132,0,-12,-62,-5
11,1010,7Networks_LH_Vis_10,120,18,133,0,-7,-76,-6
12,1011,7Networks_LH_Vis_11,120,18,135,0,-23,-97,-12
13,1012,7Networks_LH_Vis_12,120,18,136,0,-14,-52,-1
14,1013,7Networks_LH_Vis_13,120,18,137,0,-46,-74,6
15,1014,7Networks_LH_Vis_14,120,18,138,0,-6,-94,-4
16,1015,7Networks_LH_Vis_15,120,18,139,0,-26,-95,5
17,1016,7Networks_LH_Vis_16,120,18,140,0,-6,-77,8
18,1017,7Networks_LH_Vis_17,120,18,141,0,-18,-65,7
19,1018,7Networks_LH_Vis_18,120,19,134,0,-40,-84,14
20,1019,7Networks_LH_Vis_19,120,19,135,0,-13,-95,19
21,1020,7Networks_LH_Vis_20,120,19,136,0,-3,-86,23
22,1021,7Networks_LH_Vis_21,120,19,137,0,-11,-73,23
23,1022,7Networks_LH_Vis_22,120,19,138,0,-28,-83,23
24,1023,7Networks_LH_Vis_23,120,19,139,0,-14,-86,37
25,1024,7Networks_LH_Vis_24,120,19,140,0,-23,-79,40
26,1025,7Networks_LH_SomMot_1,70,129,175,0,-49,-11,1
27,1026,7Networks_LH_SomMot_2,70,129,176,0,-54,-23,8
28,1027,7Networks_LH_SomMot_3,70,129,177,0,-38,-13,15
29,1028,7Networks_LH_SomMot_4,70,129,178,0,-35,-26,16
30,1029,7Networks_LH_SomMot_5,70,129,179,0,-51,-13,14
31,1030,7Networks_LH_SomMot_6,70,129,180,0,-56,-38,17
32,1031,7Networks_LH_SomMot_7,70,130,173,0,-44,-30,18
33,1032,7Networks_LH_SomMot_8,70,130,174,0,-61,-4,13
