roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,16,129,0,-25,-45,-15
3,1002,7Networks_LH_Vis_2,120,16,130,0,-34,-59,-17
4,1003,7Networks_LH_Vis_3,120,16,131,0,-31,-41,-10
5,1004,7Networks_LH_Vis_4,120,16,132,0,-35,-77,-15
6,1005,7Networks_LH_Vis_5,120,16,133,0,-25,-58,-9
7,1006,7Networks_LH_Vis_6,120,16,134,0,-23,-73,-10
8,1007,7Networks_LH_Vis_7,120,17,127,0,-41,-82,-15
9,1008,7Networks_LH_Vis_8,120,17,128,0,-19,-86,-15
10,1009,7Networks_LH_Vis_9,120,17,129,0,-20,-49,-7
11,1010,7Networks_LH_Vis_10,120,17,130,0,-46,-71,-7
12,1011,7Networks_LH_Vis_11,120,17,131,0,-15,-37,-11
13,1012,7Networks_LH_Vis_12,120,17,132,0,-12,-62,-4
14,1013,7Networks_LH_Vis_13,120,17,133,0,-7,-76,-6
15,1014,7Networks_LH_Vis_14,120,17,134,0,-43,-86,-5
16,1015,7Networks_LH_Vis_15,120,18,127,0,-25,-97,-11
17,1016,7Networks_LH_Vis_16,120,18,128,0,-7,-94,-14
18,1017,7Networks_LH_Vis_17,120,18,129,0,-13,-42,-5
19,1018,7Networks_LH_Vis_18,120,18,130,0,-45,-76,4
20,1019,7Networks_LH_Vis_19,120,18,131,0,-7,-62,3
21,1020,7Networks_LH_Vis_20,120,18,132,0,-3,-70,5
22,1021,7Networks_LH_Vis_21,120,18,133,0,-16,-55,1
23,1022,7Networks_LH_Vis_22,120,18,135,0,-6,-86,0
24,1023,7Networks_LH_Vis_23,120,18,136,0,-35,-90,2
25,1024,7Networks_LH_Vis_24,120,18,137,0,-8,-102,-2
26,1025,7Networks_LH_Vis_25,120,18,138,0,-12,-46,3
27,1026,7Networks_LH_Vis_26,120,18,139,0,-6,-95,1
28,1027,7Networks_LH_Vis_27,120,18,140,0,-20,-100,5
29,1028,7Networks_LH_Vis_28,120,18,141,0,-10,-73,9
30,1029,7Networks_LH_Vis_29,120,19,134,0,-49,-73,13
31,1030,7Networks_LH_Vis_30,120,19,135,0,-28,-92,10
32,1031,7Networks_LH_Vis_31,120,19,136,0,-20,-63,7
33,1032,7Networks_LH_Vis_32,120,19,137,0,-43,-79,15
34,1033,7Networks_LH_Vis_33,120,19,138,0,-2,-82,11
35,1034,7Networks_LH_Vis_34,120,19,139,0,-7,-97,15
36,1035,7Networks_LH_Vis_35,120,19,140,0,-37,-87,18
37,1036,7Networks_LH_Vis_36,120,19,141,0,-18,-94,20
38,1037,7Networks_LH_Vis_37,120,20,134,0,-7,-68,16
39,1038,7Networks_LH_Vis_38,120,20,135,0,-17,-66,17
40,1039,7Networks_LH_Vis_39,120,20,136,0,-3,-84,25
41,1040,7Networks_LH_Vis_40,120,20,137,0,-28,-84,20
42,1041,7Networks_LH_Vis_41,120,20,138,0,-13,-75,25
43,1042,7Networks_LH_Vis_42,120,20,139,0,-14,-90,34
44,1043,7Networks_LH_Vis_43,120,20,140,0,-23,-84,28
45,1044,7Networks_LH_Vis_44,120,20,141,0,-12,-82,37
46,1045,7Networks_LH_Vis_45,120,21,134,0,-22,-84,43
47,1046,7Networks_LH_SomMot_1,70,127,178,0,-53,0,-3
48,1047,7Networks_LH_SomMot_2,70,127,179,0,-58,-15,6
49,1048,7Networks_LH_SomMot_3,70,127,180,0,-43,-19,4
50,1049,7Networks_LH_SomMot_4,70,128,173,0,-61,-25,10
51,1050,7Networks_LH_SomMot_5,70,128,174,0,-63,-35,7
52,1051,7Networks_LH_SomMot_6,70,128,175,0,-47,-25,8
53,1052,7Networks_LH_SomMot_7,70,128,176,0,-35,-12,14
54,1053,7Networks_LH_SomMot_8,70,128,177,0,-35,-25,13
55,1054,7Networks_LH_SomMot_9,70,128,178,0,-43,-4,13
56,1055,7Networks_LH_SomMot_10,70,128,179,0,-40,-13,18
57,1056,7Networks_LH_SomMot_11,70,128,180,0,-59,-37,15
58,1057,7Networks_LH_SomMot_12,70,129,173,0,-41,-35,14
59,1058,7Networks_LH_SomMot_13,70,129,174,0,-38,-26,20
60,1059,7Networks_LH_SomMot_14,70,129,175,0,-51,-13,14
61,1060,7Networks_LH_SomMot_15,70,129,176,0,-59,1,13
62,1061,7Networks_LH_SomMot_16,70,129,177,0,-62,-8,11
63,1062,7Networks_LH_SomMot_17,70,129,178,0,-48,-25,18
64,1063,7Networks_LH_SomMot_18,70,129,179,0,-61,-18,20
65,1064,7Networks_LH_SomMot_19,70,129,180,0,-59,-3,20
66,1065,7Networks_LH_SomMot_20,70,130,173,0,-64,-10,26
67,1066,7Networks_LH_SomMot_21,70,130,174,0,-55,-9,31
68,1067,7Networks_LH_SomMot_22,70,130,175,0,-54,-4,34
69,1068,7Networks_LH_SomMot_23,70,130,176,0,-58,-15,40
70,1069,7Networks_LH_SomMot_24,70,130,177,0,-50,-16,41
71,1070,7Networks_LH_SomMot_25,70,130,178,0,-55,-21,47
72,1071,7Networks_LH_SomMot_26,70,130,179,0,-9,-8,42
73,1072,7Networks_LH_SomMot_27,70,130,181,0,-52,-4,47
74,1073,7Networks_LH_SomMot_28,70,130,182,0,-42,-17,39
75,1074,7Networks_LH_SomMot_29,70,130,183,0,-48,-17,52
76,1075,7Networks_LH_SomMot_30,70,130,184,0,-51,-26,55
77,1076,7Networks_LH_SomMot_31,70,130,185,0,-42,-13,49
78,1077,7Networks_LH_SomMot_32,70,130,186,0,-7,-14,49
79,1078,7Networks_LH_SomMot_33,70,130,187,0,-45,-24,63
80,1079,7Networks_LH_SomMot_34,70,131,180,0,-40,-24,53
81,1080,7Networks_LH_SomMot_35,70,131,181,0,-40,-36,63
82,1081,7Networks_LH_SomMot_36,70,131,182,0,-35,-46,62
83,1082,7Networks_LH_SomMot_37,70,131,183,0,-37,-19,63
84,1083,7Networks_LH_SomMot_38,70,131,184,0,-4,-9,61
85,1084,7Networks_LH_SomMot_39,70,131,185,0,-8,-40,58
86,1085,7Networks_LH_SomMot_40,70,131,186,0,-4,-26,57
87,1086,7Networks_LH_SomMot_41,70,131,187,0,-30,-11,63
88,1087,7Networks_LH_SomMot_42,70,132,180,0,-27,-40,59
89,1088,7Networks_LH_SomMot_43,70,132,181,0,-31,-29,62
90,1089,7Networks_LH_SomMot_44,70,132,182,0,-27,-48,65
91,1090,7Networks_LH_SomMot_45,70,132,183,0,-30,-35,70
92,1091,7Networks_LH_SomMot_46,70,132,184,0,-21,-12,71
93,1092,7Networks_LH_SomMot_47,70,132,185,0,-19,-24,68
94,1093,7Networks_LH_SomMot_48,70,132,186,0,-9,-43,71
95,1094,7Networks_LH_SomMot_49,70,132,187,0,-23,-38,71
96,1095,7Networks_LH_SomMot_50,70,133,180,0,-20,-31,67
97,1096,7Networks_LH_SomMot_51,70,133,181,0,-3,-31,68
98,1097,7Networks_LH_SomMot_52,70,133,182,0,-6,-17,73
99,1098,7Networks_LH_SomMot_53,70,133,183,0,-17,-46,72
100,1099,7Networks_LH_SomMot_54,70,133,184,0,-14,-13,73
101,1100,7Networks_LH_SomMot_55,70,133,185,0,-11,-27,73
102,1101,7Networks_LH_SomMot_56,70,133,186,0,-11,-34,74
103,1102,7Networks_LH_DorsAttn_Post_1,0,117,10,0,-46,-45,-20
104,1103,7Networks_LH_DorsAttn_Post_2,0,117,11,0,-54,-55,-18
105,1104,7Networks_LH_DorsAttn_Post_3,0,117,12,0,-45,-62,-14
106,1105,7Networks_LH_DorsAttn_Post_4,0,117,13,0,-48,-64,-2
107,1106,7Networks_LH_DorsAttn_Post_5,0,117,14,0,-58,-59,-2
108,1107,7Networks_LH_DorsAttn_Post_6,0,118,7,0,-51,-65,7
109,1108,7Networks_LH_DorsAttn_Post_7,0,118,8,0,-46,-62,14
110,1109,7Networks_LH_DorsAttn_Post_8,0,118,9,0,-31,-84,29
111,1110,7Networks_LH_DorsAttn_Post_9,0,118,10,0,-28,-71,30
112,1111,7Networks_LH_DorsAttn_Post_10,0,118,11,0,-22,-75,37
113,1112,7Networks_LH_DorsAttn_Post_11,0,118,12,0,-54,-24,39
114,1113,7Networks_LH_DorsAttn_Post_12,0,118,13,0,-54,-33,45
115,1114,7Networks_LH_DorsAttn_Post_13,0,118,15,0,-25,-65,43
116,1115,7Networks_LH_DorsAttn_Post_14,0,118,16,0,-48,-28,44
117,1116,7Networks_LH_DorsAttn_Post_15,0,118,17,0,-19,-68,47
118,1117,7Networks_LH_DorsAttn_Post_16,0,118,18,0,-34,-43,41
119,1118,7Networks_LH_DorsAttn_Post_17,0,118,19,0,-15,-75,51
120,1119,7Networks_LH_DorsAttn_Post_18,0,118,20,0,-41,-34,46
121,1120,7Networks_LH_DorsAttn_Post_19,0,118,21,0,-28,-57,54
122,1121,7Networks_LH_DorsAttn_Post_20,0,119,14,0,-26,-65,56
123,1122,7Networks_LH_DorsAttn_Post_21,0,119,15,0,-5,-71,54
124,1123,7Networks_LH_DorsAttn_Post_22,0,119,16,0,-35,-51,54
125,1124,7Networks_LH_DorsAttn_Post_23,0,119,17,0,-37,-41,55
126,1125,7Networks_LH_DorsAttn_Post_24,0,119,18,0,-17,-70,59
127,1126,7Networks_LH_DorsAttn_Post_25,0,119,19,0,-30,-60,64
128,1127,7Networks_LH_DorsAttn_Post_26,0,119,20,0,-7,-59,62
129,1128,7Networks_LH_DorsAttn_Post_27,0,119,21,0,-20,-58,66
130,1129,7Networks_LH_DorsAttn_Post_28,0,120,14,0,-9,-54,71
131,1130,7Networks_LH_DorsAttn_FEF_1,0,118,22,0,-38,-3,51
132,1131,7Networks_LH_DorsAttn_FEF_2,0,119,22,0,-25,-6,53
133,1132,7Networks_LH_DorsAttn_FEF_3,0,120,15,0,-19,-10,62
134,1133,7Networks_LH_DorsAttn_FEF_4,0,120,16,0,-19,-1,69
135,1134,7Networks_LH_DorsAttn_PrCv_1,0,120,17,0,-44,6,25
136,1135,7Networks_LH_DorsAttn_PrCv_2,0,120,18,0,-56,7,27
137,1136,7Networks_LH_DorsAttn_PrCv_3,0,120,19,0,-46,2,37
138,1137,7Networks_LH_SalVentAttn_ParOper_1,196,58,249,0,-47,-38,24
139,1138,7Networks_LH_SalVentAttn_ParOper_2,196,58,251,0,-58,-44,27
140,1139,7Networks_LH_SalVentAttn_ParOper_3,196,58,252,0,-59,-29,22
141,1140,7Networks_LH_SalVentAttn_ParOper_4,196,58,253,0,-58,-19,30
142,1141,7Networks_LH_SalVentAttn_ParOper_5,196,58,254,0,-61,-37,34
143,1142,7Networks_LH_SalVentAttn_ParOper_6,196,58,255,0,-63,-26,36
144,1143,7Networks_LH_SalVentAttn_TempOcc_1,193,51,249,0,-56,-56,13
145,1144,7Networks_LH_SalVentAttn_FrOperIns_1,196,59,246,0,-39,2,-11
146,1145,7Networks_LH_SalVentAttn_FrOperIns_2,196,59,247,0,-39,-9,-9
147,1146,7Networks_LH_SalVentAttn_FrOperIns_3,196,59,248,0,-39,2,0
148,1147,7Networks_LH_SalVentAttn_FrOperIns_4,196,59,249,0,-34,30,0
149,1148,7Networks_LH_SalVentAttn_FrOperIns_5,196,59,251,0,-40,-15,0
150,1149,7Networks_LH_SalVentAttn_FrOperIns_6,196,59,252,0,-33,19,8
151,1150,7Networks_LH_SalVentAttn_FrOperIns_7,196,59,253,0,-37,-3,9
152,1151,7Networks_LH_SalVentAttn_FrOperIns_8,196,59,254,0,-38,3,12
153,1152,7Networks_LH_SalVentAttn_FrOperIns_9,196,59,255,0,-44,11,2
154,1153,7Networks_LH_SalVentAttn_FrOperIns_10,193,52,250,0,-51,1,5
155,1154,7Networks_LH_SalVentAttn_FrOperIns_11,193,53,243,0,-56,8,13
156,1155,7Networks_LH_SalVentAttn_PFCl_1,193,52,249,0,-30,46,27
157,1156,7Networks_LH_SalVentAttn_PFCl_2,193,52,251,0,-26,37,37
158,1157,7Networks_LH_SalVentAttn_Med_1,197,58,245,0,-7,27,29
159,1158,7Networks_LH_SalVentAttn_Med_2,197,58,246,0,-6,16,36
160,1159,7Networks_LH_SalVentAttn_Med_3,197,58,247,0,-5,3,37
161,1160,7Networks_LH_SalVentAttn_Med_4,197,58,248,0,-8,-22,39
162,1161,7Networks_LH_SalVentAttn_Med_5,197,58,249,0,-12,-35,42
163,1162,7Networks_LH_SalVentAttn_Med_6,197,58,251,0,-13,-24,42
164,1163,7Networks_LH_SalVentAttn_Med_7,197,58,252,0,-6,4,48
165,1164,7Networks_LH_SalVentAttn_Med_8,197,58,253,0,-12,-44,51
166,1165,7Networks_LH_SalVentAttn_Med_9,197,58,254,0,-11,-34,49
167,1166,7Networks_LH_SalVentAttn_Med_10,197,58,255,0,-4,-51,53
168,1167,7Networks_LH_SalVentAttn_Med_11,194,51,250,0,-5,3,59
169,1168,7Networks_LH_SalVentAttn_Med_12,194,52,243,0,-8,-48,61
170,1169,7Networks_LH_SalVentAttn_Med_13,194,52,244,0,-14,9,67
171,1170,7Networks_LH_SalVentAttn_Med_14,194,52,245,0,-8,-2,71
172,1171,7Networks_LH_Limbic_OFC_1,220,248,162,0,-23,14,-23
173,1172,7Networks_LH_Limbic_OFC_2,220,248,163,0,-13,25,-21
174,1173,7Networks_LH_Limbic_OFC_3,220,248,165,0,-23,30,-18
175,1174,7Networks_LH_Limbic_OFC_4,220,248,166,0,-4,22,-20
176,1175,7Networks_LH_Limbic_OFC_5,220,248,167,0,-10,50,-22
