roi,mics,label,R,G,B,A,coor.x,coor.y,coor.z
1,1000,medial_wall,,,,,,,
2,1001,7Networks_LH_Vis_1,120,18,131,0,-26,-34,-17
3,1002,7Networks_LH_Vis_2,120,18,132,0,-26,-77,-14
4,1003,7Networks_LH_Vis_3,120,18,133,0,-17,-60,-7
5,1004,7Networks_LH_Vis_4,120,18,135,0,-27,-95,-4
6,1005,7Networks_LH_Vis_5,120,18,136,0,-5,-92,-2
7,1006,7Networks_LH_Vis_6,120,18,137,0,-12,-67,7
8,1007,7Networks_LH_Vis_7,120,18,138,0,-47,-71,11
9,1008,7Networks_LH_Vis_8,120,18,139,0,-25,-88,20
10,1009,7Networks_LH_Vis_9,120,18,140,0,-6,-82,26
11,1010,7Networks_LH_SomMot_1,70,130,179,0,-53,-23,8
12,1011,7Networks_LH_SomMot_2,70,130,181,0,-37,-21,16
13,1012,7Networks_LH_SomMot_3,70,130,182,0,-54,-12,13
14,1013,7Networks_LH_SomMot_4,70,130,183,0,-55,-8,34
15,1014,7Networks_LH_SomMot_5,70,130,184,0,-39,-23,59
16,1015,7Networks_LH_SomMot_6,70,130,185,0,-6,-29,70
17,1016,7Networks_LH_DorsAttn_Post_1,0,118,13,0,-47,-58,-13
18,1017,7Networks_LH_DorsAttn_Post_2,0,118,15,0,-57,-25,39
19,1018,7Networks_LH_DorsAttn_Post_3,0,118,16,0,-24,-68,49
20,1019,7Networks_LH_DorsAttn_Post_4,0,118,17,0,-42,-34,48
21,1020,7Networks_LH_DorsAttn_Post_5,0,118,18,0,-6,-60,56
22,1021,7Networks_LH_DorsAttn_Post_6,0,118,19,0,-22,-51,66
23,1022,7Networks_LH_DorsAttn_PrCv_1,0,118,20,0,-48,6,28
24,1023,7Networks_LH_DorsAttn_FEF_1,0,118,21,0,-26,-3,59
25,1024,7Networks_LH_SalVentAttn_ParOper_1,196,58,251,0,-59,-38,29
26,1025,7Networks_LH_SalVentAttn_FrOperIns_1,196,59,251,0,-41,-1,-7
27,1026,7Networks_LH_SalVentAttn_FrOperIns_2,196,59,252,0,-38,12,6
28,1027,7Networks_LH_SalVentAttn_PFCl_1,196,59,253,0,-30,44,30
29,1028,7Networks_LH_SalVentAttn_Med_1,197,58,251,0,-5,20,34
30,1029,7Networks_LH_SalVentAttn_Med_2,197,58,252,0,-11,-34,45
31,1030,7Networks_LH_SalVentAttn_Med_3,197,58,253,0,-6,4,62
32,1031,7Networks_LH_Limbic_OFC_1,220,248,165,0,-14,32,-20
33,1032,7Networks_LH_Limbic_TempPole_1,220,248,166,0,-32,2,-37
34,1033,7Networks_LH_Limbic_TempPole_2,220,248,167,0,-57,-33,-21
35,1034,7Networks_LH_Cont_Par_1,230,148,35,0,-37,-53,46
36,1035,7Networks_LH_Cont_PFCl_1,230,149,36,0,-43,33,21
37,1036,7Networks_LH_Cont_pCun_1,231,149,35,0,-9,-73,38
38,1037,7Networks_LH_Cont_Cing_1,231,149,36,0,-4,-26,33
39,1038,7Networks_LH_Default_Temp_1,205,62,80,0,-55,-4,-20
40,1039,7Networks_LH_Default_Temp_2,205,62,81,0,-58,-32,-1
41,1040,7Networks_LH_Default_Par_1,205,62,82,0,-57,-50,12
42,1041,7Networks_LH_Default_Par_2,205,62,83,0,-48,-63,35
43,1042,7Networks_LH_Default_PFC_1,205,63,76,0,-35,21,-11
44,1043,7Networks_LH_Default_PFC_2,205,63,77,0,-47,33,-3
45,1044,7Networks_LH_Default_PFC_3,205,63,79,0,-6,47,0
46,1045,7Networks_LH_Default_PFC_4,205,63,80,0,-24,61,-1
47,1046,7Networks_LH_Default_PFC_5,205,63,81,0,-9,48,41
48,1047,7Networks_LH_Default_PFC_6,205,63,82,0,-41,14,48
49,1048,7Networks_LH_Default_PFC_7,205,63,83,0,-25,20,51
50,1049,7Networks_LH_Default_pCunPCC_1,205,63,84,0,-11,-56,13
51,1050,7Networks_LH_Default_pCunPCC_2,205,63,85,0,-6,-53,33
52,2000,medial_wall,,,,,,,
53,2001,7Networks_RH_Vis_1,124,18,133,0,32,-31,-22
54,2002,7Networks_RH_Vis_2,124,18,134,0,27,-66,-12
55,2003,7Networks_RH_Vis_3,124,18,136,0,49,-60,-11
56,2004,7Networks_RH_Vis_4,124,18,137,0,22,-96,-5
57,2005,7Networks_RH_Vis_5,124,18,138,0,8,-76,5
58,2006,7Networks_RH_Vis_6,124,18,139,0,17,-57,5
59,2007,7Networks_RH_Vis_7,124,18,140,0,36,-82,16
60,2008,7Networks_RH_Vis_8,124,18,141,0,13,-86,29
61,2009,7Networks_RH_SomMot_1,74,130,179,0,53,-16,7
62,2010,7Networks_RH_SomMot_2,74,130,180,0,40,-15,15
63,2011,7Networks_RH_SomMot_3,74,130,182,0,57,-4,11
64,2012,7Networks_RH_SomMot_4,74,130,183,0,58,-5,31
65,2013,7Networks_RH_SomMot_5,74,130,184,0,47,-11,48
66,2014,7Networks_RH_SomMot_6,74,130,185,0,41,-22,60
67,2015,7Networks_RH_SomMot_7,74,130,186,0,30,-37,64
68,2016,7Networks_RH_SomMot_8,74,130,187,0,6,-26,70
69,2017,7Networks_RH_DorsAttn_Post_1,4,119,14,0,50,-62,16
70,2018,7Networks_RH_DorsAttn_Post_2,4,119,16,0,50,-24,42
71,2019,7Networks_RH_DorsAttn_Post_3,4,119,17,0,38,-45,49
72,2020,7Networks_RH_DorsAttn_Post_4,4,119,18,0,27,-67,51
73,2021,7Networks_RH_DorsAttn_Post_5,4,119,19,0,14,-52,66
74,2022,7Networks_RH_DorsAttn_PrCv_1,5,118,15,0,49,10,27
75,2023,7Networks_RH_DorsAttn_FEF_1,5,118,16,0,28,-3,59
76,2024,7Networks_RH_SalVentAttn_TempOccPar_1,201,58,252,0,58,-42,13
77,2025,7Networks_RH_SalVentAttn_TempOccPar_2,201,58,253,0,61,-26,27
78,2026,7Networks_RH_SalVentAttn_FrOperIns_1,201,59,252,0,40,8,1
79,2027,7Networks_RH_SalVentAttn_Med_1,200,57,250,0,11,-31,45
